Date,0_sum,1_sum,2_sum,3_sum,4_sum,5_sum,6_sum,7_sum,8_sum,9_sum,10_sum,11_sum,12_sum,13_sum,14_sum,15_sum,16_sum,17_sum,18_sum,19_sum,20_sum,21_sum,22_sum,23_sum,24_sum,25_sum,26_sum,27_sum,28_sum,29_sum
2017-01-20,0.5457175920000001,-0.06338885900000005,-0.09669308099999996,0.5069751659999999,-0.738457742,-1.7142609219999998,0.7999895499999999,-0.10145482400000003,-0.400683997,1.0813766329999999,1.306043371,0.03953456399999995,0.38439150600000005,0.212393196,-0.09926265369999998,-0.719578442,-0.3389896120000001,0.266989771,0.09164050359999996,0.36519641099999994,0.40313240000000006,-0.426671802,-0.47679992369999996,-0.1187445935,0.21716931199999992,-2.2087533065,0.512227223,0.2562603840000002,0.10472005100000006,0.40021679200000015
2017-01-21,-0.02745795499999998,0.14874509,-0.267447916,-0.09532573000000001,-0.32712045,-0.26765378300000003,0.09956945500000003,0.036890809999999996,0.05472580000000002,0.32298087,0.28614077,0.13389447,0.38400424450000004,-0.015303225999999975,0.023548629999999987,-0.18530922999999985,-0.016390859999999993,0.168737844,0.08429321000000001,-0.12189298,-0.141458381,0.04426458000000001,-0.016323229999999994,-0.050656050000000036,-0.23218692000000002,-0.226348882,0.438436743,0.260436005,-0.142684136,0.0022717600000000254
2017-01-22,0.644455284,-0.6233161140000001,1.0213695907,0.9673712170000001,1.070074005,-1.043353418,0.376650246,-0.08960606499999998,-0.48844983640000006,-0.24380434,0.022223210000000035,-0.31632969005,-1.24943125,0.083086266,0.10563460599999999,0.33062521,-0.193126517,-0.27066652199999996,-0.096905454,0.9561034720000001,1.1618581183,-0.656158048,-0.38452596170000003,0.383289475,1.3430877860000001,-2.56875566,-1.37383825,-0.7082091340000001,0.6254358,0.31862131899999996
2017-01-23,0.37641149999999995,-0.39896129999999996,0.64979184,0.57013166,0.6496333000000001,-0.4857437,0.19101065,-0.076470025,-0.30623806,-0.22199935,-0.04998094,-0.23374343,-0.8062556,0.07001877,0.025016128999999998,0.20815387,-0.11371843,-0.21282664,-0.092213325,0.5684176999999999,0.6824312,-0.38140267,-0.21786071,0.20330174,0.8096675999999999,-1.283794,-0.88844275,-0.48127967,0.40001106,0.18838672
2017-01-24,-0.4532555359999999,0.399814314,-0.45320353999999996,-0.47572597000000005,0.34789822494,0.206289524,-0.374641212,0.31896977000000004,0.537045476,-0.10273136299999999,-0.451424916,0.44911443799999995,0.448290112,-0.383554564,0.436872095,0.435597082,0.287770788,0.319181893,0.273518959,-0.407437469,-0.3810216078,0.33841524,0.32808578450000003,0.292123924,-0.44015603999999997,-0.27566651000000003,0.43851315,0.459292736,-0.4316944079999999,-0.352666051
2017-01-25,0.1896066940000001,0.15991824999999993,-0.38054418999999984,0.08254652099999986,-0.7460486799999999,-1.016864926,0.45519783999999996,-0.004506708000000012,-0.10290053699999999,0.853374056,0.90523814,0.17465848999999994,0.6487316840000001,0.07912010130000008,-0.028843208999999953,-0.5476253799999999,-0.16445348000000007,0.3144545040000001,0.13518525899999995,-0.010587985999999966,-0.025137209999999986,-0.115770548,-0.21764965539999992,-0.13063271399999998,-0.21627571599999998,-1.11542724,0.771986259,0.42955101500000004,-0.1344225349999999,0.17123362960000013
2017-01-26,3.0771791750000004,-2.0101553949999995,2.281037257999999,3.395150094,-1.41024465,-4.792342385,3.023438542,-1.297034134,-2.930915775000001,2.052394743,3.84101846,-1.6816309315,-1.9667621399999997,1.699425489,-1.481034569,-2.38150994,-1.728724431,-0.806838511,-0.8079520470000001,2.9075283609999993,3.092728662,-2.503601919,-2.29548736,-0.7793415300000001,3.122985685,-5.632227267000001,-1.82528026,-1.7048557118,2.1896551250000007,2.1711590670000005
2017-01-27,1.8229256649999999,-1.215914063,1.4255177749999999,2.049641329,-0.63070863,-2.86580124,1.7567089340000002,-0.7364739500000002,-1.7135889659999999,1.1261533,2.1663402910000005,-0.9825010134,-1.28039133,0.9614069917000001,-0.807613256,-1.286471364,-0.9981071732000001,-0.48434632600000005,-0.4615994105,1.7738543400000002,1.910140166,-1.503610989,-1.346261704,-0.3746403119999999,1.951229286,-3.585350334,-1.218541324,-1.05232908,1.316855726,1.26499883
2017-01-28,0.6979753800000001,-0.4838265559999999,0.6488142400000001,0.8599303499999996,0.16228725000000002,-1.27444757,0.629151105,-0.19168895556999999,-0.5881682800000001,0.321700388,0.663135204,-0.2995705000000001,-0.6562662899999999,0.25230168900000005,-0.12749480999999996,-0.24742259999999996,-0.32693670100000005,-0.14515382999999998,-0.106253922,0.7769077689999997,0.8906686079999999,-0.6203130470000001,-0.4936593799999999,0.05863689,0.9338716450000001,-2.104973736,-0.66916343,-0.42523342,0.5113853725999999,0.43780216000000016
2017-01-29,2.3299438990000003,-2.2081167855,3.3944351099999994,3.26992842,2.6456309000000005,-3.195904123,1.48566317,-0.606196891,-1.979113154,-0.5712335260000001,0.5686399419999999,-1.3915086580000002,-4.03378095,0.6595820400000001,-0.18261852,0.45277141,-0.866769206,-1.1174416395,-0.5755981672999999,3.161842391,3.7162762219999994,-2.235815733,-1.45467155,0.7639326559999999,4.294073948,-6.9923093860000005,-4.374901920000001,-2.51234886,2.2495180515999995,1.2944461980000002
