,year_,month_,day_,keyword_China_func0_min,keyword_China_func0_max,keyword_China_func0_sum,keyword_Russia_func0_min,keyword_Russia_func0_max,keyword_Russia_func0_sum,keyword_Mexico_func0_min,keyword_Mexico_func0_max,keyword_Mexico_func0_sum,keyword_Canada_func0_min,keyword_Canada_func0_max,keyword_Canada_func0_sum,keyword_Korea_func0_min,keyword_Korea_func0_max,keyword_Korea_func0_sum,keyword_Clinton_func0_min,keyword_Clinton_func0_max,keyword_Clinton_func0_sum,keyword_Democrats_func0_min,keyword_Democrats_func0_max,keyword_Democrats_func0_sum,keyword_Republicans_func0_min,keyword_Republicans_func0_max,keyword_Republicans_func0_sum,keyword_himself_func0_min,keyword_himself_func0_max,keyword_himself_func0_sum,keyword_family_func0_min,keyword_family_func0_max,keyword_family_func0_sum,keyword_government_func0_min,keyword_government_func0_max,keyword_government_func0_sum,keyword_media_func0_min,keyword_media_func0_max,keyword_media_func0_sum,keyword_states_func0_min,keyword_states_func0_max,keyword_states_func0_sum,keyword_social_media_func0_min,keyword_social_media_func0_max,keyword_social_media_func0_sum,keyword_Obama_func0_min,keyword_Obama_func0_max,keyword_Obama_func0_sum,keyword_FBI_func0_min,keyword_FBI_func0_max,keyword_FBI_func0_sum,keyword_rivals_func0_min,keyword_rivals_func0_max,keyword_rivals_func0_sum,keyword_MiddleEast_func0_min,keyword_MiddleEast_func0_max,keyword_MiddleEast_func0_sum,keyword_Ukraine_scandal_func0_min,keyword_Ukraine_scandal_func0_max,keyword_Ukraine_scandal_func0_sum,keyword_economy_func0_min,keyword_economy_func0_max,keyword_economy_func0_sum,keyword_disaster_func0_min,keyword_disaster_func0_max,keyword_disaster_func0_sum,keyword_China_func1_min,keyword_China_func1_max,keyword_China_func1_sum,keyword_Russia_func1_min,keyword_Russia_func1_max,keyword_Russia_func1_sum,keyword_Mexico_func1_min,keyword_Mexico_func1_max,keyword_Mexico_func1_sum,keyword_Canada_func1_min,keyword_Canada_func1_max,keyword_Canada_func1_sum,keyword_Korea_func1_min,keyword_Korea_func1_max,keyword_Korea_func1_sum,keyword_Clinton_func1_min,keyword_Clinton_func1_max,keyword_Clinton_func1_sum,keyword_Democrats_func1_min,keyword_Democrats_func1_max,keyword_Democrats_func1_sum,keyword_Republicans_func1_min,keyword_Republicans_func1_max,keyword_Republicans_func1_sum,keyword_himself_func1_min,keyword_himself_func1_max,keyword_himself_func1_sum,keyword_family_func1_min,keyword_family_func1_max,keyword_family_func1_sum,keyword_government_func1_min,keyword_government_func1_max,keyword_government_func1_sum,keyword_media_func1_min,keyword_media_func1_max,keyword_media_func1_sum,keyword_states_func1_min,keyword_states_func1_max,keyword_states_func1_sum,keyword_social_media_func1_min,keyword_social_media_func1_max,keyword_social_media_func1_sum,keyword_Obama_func1_min,keyword_Obama_func1_max,keyword_Obama_func1_sum,keyword_FBI_func1_min,keyword_FBI_func1_max,keyword_FBI_func1_sum,keyword_rivals_func1_min,keyword_rivals_func1_max,keyword_rivals_func1_sum,keyword_MiddleEast_func1_min,keyword_MiddleEast_func1_max,keyword_MiddleEast_func1_sum,keyword_Ukraine_scandal_func1_min,keyword_Ukraine_scandal_func1_max,keyword_Ukraine_scandal_func1_sum,keyword_economy_func1_min,keyword_economy_func1_max,keyword_economy_func1_sum,keyword_disaster_func1_min,keyword_disaster_func1_max,keyword_disaster_func1_sum
0,2017.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11646.5502,17767.488989999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12486.208470000001,12486.208470000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13906.119999999999,21214.593999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14908.681999999999,14908.681999999999,0.0,0.0,0.0
1,2017.0,1.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7779.25554,17489.49177,34606.65393,0.0,0.0,0.0,7779.25554,17489.49177,34606.65393,0.0,7779.25554,7779.25554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9288.524,20882.661999999997,41320.757999999994,0.0,0.0,0.0,9288.524,20882.661999999997,41320.757999999994,0.0,9288.524,9288.524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2017.0,1.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5635.61031,5635.61031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6728.985999999999,6728.985999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2017.0,1.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8916.91083,8916.91083,8916.91083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8916.91083,8916.91083,8916.91083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10646.898,10646.898,10646.898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10646.898,10646.898,10646.898,0.0,0.0,0.0
4,2017.0,1.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5443.94556,5443.94556,0.0,0.0,0.0,0.0,7914.58752,7914.58752,0.0,0.0,0.0,0.0,8564.914350000001,8564.914350000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7914.58752,7914.58752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6500.1359999999995,6500.1359999999995,0.0,0.0,0.0,0.0,9450.112,9450.112,0.0,0.0,0.0,0.0,10226.609999999999,10226.609999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9450.112,9450.112,0.0,0.0,0.0
5,2017.0,1.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16641.22,16641.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10702.559640000001,10702.559640000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.188,112.188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12778.983999999999,12778.983999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2017.0,1.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8627.24706,8908.31706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8278.58388,12070.545960000001,0.0,9739.902600000001,21236.4543,0.0,0.0,0.0,0.0,8627.24706,16133.447059999999,0.0,3552.9644700000003,5725.609410000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9344.57322,9344.57322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,281.07,281.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26111.403000000002,36412.439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9884.728,14412.375999999998,0.0,11629.56,25356.579999999998,0.0,0.0,0.0,0.0,10301.035999999998,16560.052,0.0,4242.281999999999,6836.445999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11157.532,11157.532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26111.403000000002,26111.403000000002,0.0,0.0,0.0
7,2017.0,1.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10201.56465,10201.56465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5344.27989,5344.27989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10201.56465,10201.56465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12180.789999999999,12180.789999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6381.133999999999,6381.133999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12180.789999999999,12180.789999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2017.0,1.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6913.59753,6913.59753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8254.918,8254.918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2017.0,1.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14123.858760000001,14123.858760000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16813.1652,16813.1652,0.0,7418.925810000001,7418.925810000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14123.858760000001,14123.858760000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16864.055999999997,16864.055999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20075.12,20075.12,0.0,8858.286,8858.286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16864.055999999997,16864.055999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
