Date,Unnamed: 0_sum,sentiment_sum
2017-07-01,119867,-0.43666666666666654
2017-07-02,43558,-0.10000000000000009
2017-07-03,108825,3.283333333333333
2017-07-04,65247,0.43333333333333324
2017-07-05,54345,-0.7333333333333334
2017-07-06,43458,1.4533333333333334
2017-07-07,76013,0.445
2017-07-08,43414,0.22499999999999987
2017-07-09,119306,2.575
2017-07-10,119185,-2.625
2017-07-11,75782,-3.2
2017-07-12,151417,1.1333333333333333
2017-07-13,43226,2.283333333333333
2017-07-14,118789,2.0566666666666666
2017-07-15,86316,3.366666666666667
2017-07-16,86252,2.183333333333333
2017-07-17,32328,1.0666666666666667
2017-07-18,53860,-1.0833333333333333
2017-07-19,53835,-0.15000000000000002
2017-07-20,32289,0.8
2017-07-21,75306,3.6499999999999995
2017-07-22,150465,-1.16
2017-07-23,53690,1.7333333333333334
2017-07-24,96579,-2.5
2017-07-25,203623,1.396666666666667
2017-07-26,128418,3.346666666666666
2017-07-27,74844,1.4233333333333336
2017-07-28,96156,3.783333333333333
2017-07-29,149415,-4.175
2017-07-30,10665,-0.7
2017-07-31,42650,0.3750000000000002
2017-08-01,31977,1.9666666666666666
2017-08-02,42622,2.25
2017-08-03,106485,4.529999999999999
2017-08-04,170168,2.6166666666666667
2017-08-05,95607,2.1500000000000004
2017-08-06,21235,1.65
2017-08-07,169736,-0.9035714285714286
2017-08-08,84772,-3.666666666666667
2017-08-09,116457,-3.1333333333333337
2017-08-10,95193,-1.55
2017-08-11,84548,0.0
2017-08-12,95040,0.5499999999999998
2017-08-13,42214,-0.10000000000000009
2017-08-14,94923,0.6250000000000001
2017-08-15,105375,1.1750000000000003
2017-08-16,157875,6.575
2017-08-17,126138,-0.9616666666666669
2017-08-18,84012,0.23999999999999966
2017-08-19,104925,2.356666666666667
2017-08-20,10487,-0.7666666666666666
2017-08-21,31455,0.0
2017-08-22,83836,4.4
2017-08-23,104705,2.3933333333333335
2017-08-24,156870,-1.9883333333333324
2017-08-25,146209,5.125
2017-08-26,125166,4.016666666666667
2017-08-27,114609,2.89
2017-08-28,41646,0.0
2017-08-29,62439,1.4
2017-08-30,52005,-1.6333333333333335
2017-08-31,51980,2.833333333333333
2017-09-01,72730,4.4
2017-09-02,41538,2.3
2017-09-03,134888,3.96
2017-09-04,10369,0.8
2017-09-05,62193,1.15
2017-09-06,82868,1.6
2017-09-07,124182,1.69
2017-09-08,82708,-0.3833333333333335
2017-09-09,30999,-1.2
2017-09-10,113586,2.5583333333333336
2017-09-11,20639,0.7
2017-09-12,51580,1.9333333333333333
2017-09-13,30936,-0.575
2017-09-14,133952,-2.791666666666666
2017-09-15,144067,-2.833333333333333
2017-09-16,30846,2.3
2017-09-17,154095,1.025
2017-09-18,51315,3.0999999999999996
2017-09-19,92304,5.083333333333333
2017-09-20,266201,6.454999999999999
2017-09-21,91989,5.033333333333333
2017-09-22,112321,0.8233333333333333
2017-09-23,132587,3.666666666666666
2017-09-24,112057,2.666666666666667
2017-09-25,91593,1.85
2017-09-26,213402,2.266666666666667
2017-09-27,121746,5.491666666666667
2017-09-28,81084,2.9749999999999996
2017-09-29,121506,0.9499999999999997
2017-09-30,323312,3.9749999999999996
2017-10-01,80668,3.2416666666666667
2017-10-02,20157,0.17000000000000004
2017-10-03,40302,3.166666666666667
2017-10-04,130871,-0.5466666666666665
2017-10-05,100555,-0.2749999999999999
2017-10-06,30147,-0.7666666666666666
2017-10-07,120498,5.208333333333334
2017-10-08,110330,2.8
2017-10-09,30069,0.09999999999999998
2017-10-10,110176,1.925
2017-10-11,150045,-2.216666666666667
2017-10-12,119874,1.1133333333333333
2017-10-13,129701,0.7033333333333334
2017-10-14,139489,4.183333333333334
2017-10-15,19911,-0.8
2017-10-16,89550,0.49666666666666637
2017-10-17,89469,1.9250000000000003
2017-10-18,168776,1.6666666666666665
2017-10-19,69412,-1.45
2017-10-20,108977,2.000000000000001
2017-10-21,118746,-4.8
2017-10-22,49435,1.5333333333333332
2017-10-23,39530,0.5
2017-10-24,79012,-0.5816666666666668
2017-10-25,128258,4.741666666666667
2017-10-26,108394,1.6499999999999997
2017-10-27,147615,4.135
2017-10-28,108108,-2.0433333333333334
2017-10-29,58917,-3.6499999999999995
2017-10-30,39258,0.0
2017-10-31,147075,-1.9499999999999997
2017-11-01,146850,-2.4188095238095233
2017-11-02,136857,3.1333333333333337
2017-11-03,195170,-7.698333333333334
2017-11-04,48730,2.9833333333333334
2017-11-05,58443,3.95
2017-11-06,68138,1.6500000000000001
2017-11-07,106975,2.866666666666667
2017-11-08,116562,3.466666666666667
2017-11-09,38822,0.915
2017-11-10,87291,5.95
2017-11-11,38770,-0.725
2017-11-12,77492,1.2333333333333334
2017-11-13,38722,2.25
2017-11-14,77396,2.4833333333333334
2017-11-15,144945,2.9416666666666673
2017-11-16,67564,0.5666666666666667
2017-11-17,67515,-2.041666666666667
2017-11-18,38558,1.62
2017-11-19,38542,-1.87
2017-11-20,38526,-0.7583333333333334
2017-11-21,19257,0.8
2017-11-22,105842,-2.7666666666666666
2017-11-23,76900,2.7
2017-11-24,96035,-0.5839285714285714
2017-11-25,47980,-1.7166666666666668
2017-11-26,28776,-0.85
2017-11-27,38354,0.080952380952381
2017-11-28,143685,3.8833333333333337
2017-11-29,191230,1.4583333333333335
2017-11-30,143160,-0.6433333333333333
2017-12-01,85788,-1.4316666666666666
2017-12-02,38102,0.2333333333333335
2017-12-03,133231,-4.166666666666667
2017-12-04,38030,1.1966666666666668
2017-12-05,19009,1.5
2017-12-06,47505,0.95
2017-12-07,85446,0.778095238095238
2017-12-08,75884,3.1683333333333334
2017-12-09,132643,5.4766666666666675
2017-12-10,37862,0.7933333333333333
2017-12-11,9463,-0.76
2017-12-12,47300,-0.8495238095238095
2017-12-13,47275,0.6099999999999999
2017-12-14,66143,1.5333333333333332
2017-12-15,37774,3.1500000000000004
2017-12-16,75500,-0.9799999999999998
2017-12-17,18865,0.30000000000000004
2017-12-18,122525,2.983333333333333
2017-12-19,47080,2.45
2017-12-20,56463,1.7000000000000002
2017-12-21,47025,-0.16666666666666652
2017-12-22,103367,-0.9566666666666668
2017-12-23,56331,-0.19166666666666665
2017-12-24,37534,-0.09142857142857141
2017-12-25,46895,2.8222222222222224
2017-12-26,28125,-0.65
2017-12-27,18745,-0.7666666666666666
2017-12-28,103026,-0.09999999999999987
2017-12-29,74852,-2.4749999999999996
2017-12-30,56097,-3.8666666666666667
2017-12-31,84078,-1.16984126984127
2018-01-01,28008,-0.5099999999999999
2018-01-02,121264,1.9228571428571424
2018-01-03,37278,-1.0499999999999998
2018-01-04,93125,-0.19166666666666665
2018-01-05,55827,0.4433333333333335
2018-01-06,65086,-1.6000000000000003
2018-01-07,46460,-0.6400000000000001
2018-01-08,65002,-0.7083333333333334
2018-01-09,46400,1.0750000000000002
2018-01-10,92725,3.115
2018-01-11,74108,-0.8833333333333333
2018-01-12,129535,2.625
2018-01-13,55455,-2.033333333333333
2018-01-14,101574,-2.6333333333333333
2018-01-15,36906,0.7999999999999999
2018-01-16,156672,0.24999999999999978
2018-01-17,46025,3.453333333333333
2018-01-18,110358,1.233333333333334
2018-01-19,55125,-0.3916666666666666
2018-01-20,73444,1.8000000000000003
2018-01-21,82548,1.73
2018-01-22,36662,0.023333333333333317
2018-01-23,54963,3.5833333333333335
2018-01-24,45775,-0.16000000000000003
2018-01-25,36602,2.925
2018-01-26,64015,4.016666666666667
2018-01-27,27420,-1.6125
