"","DE.Adjusted","SOYB.Adjusted","CORN.Adjusted","BBY.Adjusted","IRBT.Adjusted","BBBY.Adjusted","FDP.Adjusted","M.Adjusted","JCP.Adjusted","NVDA.Adjusted","GM.Adjusted","AMD.Adjusted","AAPL.Adjusted","MU.Adjusted","CAT.Adjusted","PPG.Adjusted","HOG.Adjusted","combined","date"
"1","0.108401512378235","0.175615262540118","0.15212400182071","0.127848603294031","0.116125936992174","0.075112277947875","0.0322010352689099","0.0706811414908117","0.0250730688525533","0.0832755134422529","0.595587291339394","0","-0.00607844887090314","-0.0347080763536778","-0.0271900303863872","0.300065176950702","0.0726055958675418","0.109808227210255","2017-01-04"
"2","-0.0286070798480873","0.0120142384135666","0.0314521922261697","-0.143238661015615","-0.06474202541325","-0.0596641118010075","0.00923834202553797","-0.615963222349205","-0.112436967749868","-0.0928452046304715","-0.211235454966176","-0.0401573400945512","0.02753538321892","-0.0461208708640548","-0.0370946274269719","-0.244630049905711","0.0066612066834224","-0.0946961325586678","2017-01-05"
"3","0.0691680437650515","-0.181528538255381","-0.0629864820718331","0.0166712669009659","0.0303860559139923","-0.0341112097199978","-0.108567965797855","-0.00533985470063164","-0.0565478301964044","0.0479470305425991","-0.122535694526135","0.0169903978721846","0.0601831409257545","-0.0130072752119528","0.00260999068893453","-0.00448538779653784","-0.0613206006092728","-0.0239102889574423","2017-01-06"
"4","-0.0789349650493176","0.103216340560432","0.044125875407361","0.0725015533742095","-0.0738783930597984","-0.0106363918204819","0.0164204698365555","-0.0483751879517708","-0.0774640684829939","0.143504367594814","0.00615816951299841","0.0357097425778918","0.049496160112624","0.0554573075688167","-0.0438750342711773","0.11323153493534","-0.107273741863691","0.0117284552342242","2017-01-09"
"5","-0.0183551109072062","0.10230267187225","-0.044125875407361","0.0653153570643705","0.0956469680217884","0.0193629505836286","0.028254624968288","-0.0216832337358349","-0.0402791990122326","-0.0273666801765575","0.405054693886701","-0.010447771941799","0.0054722186252758","0.0256259035696798","0.0952059370910092","0.00593310010722847","0.0397247738913546","0.042684784029446","2017-01-10"
"6","0.0500459858105464","-0.0660929548269513","-0.0379521491716199","-0.0552166560896024","-0.0500272058075968","-0.00935074382443446","0.0230756986190224","-0.0478347955404259","0.0107046668219404","-0.044703503758865","0.176680057236973","-0.0507929291565832","0.0290897479282175","0.0561801496434726","0.0528246275769719","0.0355592821608433","-0.0556820612896545","0.000971012725426686","2017-01-11"
"7","-0.0329123016745805","0.285669369716825","0.0316352753624627","0.10122069876407","0.000708685935501663","0.0180475861979952","-0.0431458248833498","0.00412187161107797","-0.0236515111427738","-0.0595460997286237","-0.129289129499871","-0.0960104913601016","-0.0227137272003333","-0.0873183830742006","-0.0424808632723792","0.0354698364763979","0.0352811663474255","-0.0014655200837916","2017-01-12"
"8","0.0377736613862245","0.0761694457737117","0.0189394595074206","-0.0497510015294611","0.0619059144093628","0.00185930503011522","0.104208327862897","-0.0137552127853557","-0.0395219834868532","-0.000349095652158127","-0.0503594899159935","-0.040412639787081","-0.00956779615140135","-0.0239717095253509","0.0315669325180798","-0.0814137768407734","0.046375805503331","0.00409977331274788","2017-01-13"
"9","-0.0886937745509528","0.16236945291402","0.194002658020974","0.129646053298342","-0.0534095152132548","0.0135959134087633","-0.0841382015985692","0.00275442910906393","0.0395219834868532","-0.0819148138372525","-0.00891113549672484","-0.178564115637982","0.0436034182504828","-0.0821906632716209","-0.0587569629044671","-0.0520522126982046","0.0247509733282381","-0.00461097137601718","2017-01-17"
"10","0.0551950563588375","0.0746190064058152","-0.012423266140472","-0.0134388214107419","0.077775804047544","-0.00308372334435858","-0.0345613506869282","-0.0638328090002785","-0.0284392235337323","0.0651181273866301","0.0474429634620623","0.0145908758580666","-0.000453074422391175","0.108000761428247","0.0345740372063337","0.106871669462079","-0.0484639468625865","0.0223230638949486","2017-01-18"
"11","-0.0134484637634089","-0.0401189706544791","0.031032694989231","-0.141252807779638","-0.011817019803946","-0.01237149509452","-0.0253346536281618","0.00139859442138529","-0.0267369201335275","0.0766918818314042","-0.050413011930763","-0.0268181326810546","-0.00950874269611468","-0.113665260556784","0.00325124018697442","0.119280864066808","-0.0328864627870138","-0.0160421568243299","2017-01-19"
"12","0.104399512747285","-0.0287424893525841","0.104918853953671","-0.0339960615657842","0.0758729162722567","-0.0130561274412482","0.0341619011035901","0.0348029369898945","0.0355447831396183","-0.0397033666894258","-0.086531551611812","-0.00490841495249583","0.00996181711850586","0.0469654046486743","0.077518678105426","0.218302911046893","0.0441889177782395","0.034100036546512","2017-01-20"
"13","0.0228383801225989","-0.0345849180491482","0","0.0226865211799088","-0.0481216010668699","-0.0446460175891938","-0.145062369872658","-0.009715470259616","0","0.0372994288382948","-0.108364348556885","0.038988824362324","0.00361717728141464","-0.013096225322998","-0.00770654993732922","0.177977797932576","0.0718821436755204","-0.0021180721918859","2017-01-23"
"14","0.032911416081064","-0.0115513434471641","-0.173295689512944","0.0786729059662323","0.131344957413251","0.015180005881593","0.00588378500555642","0.0483475315249066","0.0217969112698018","0.0761561784788811","0.105366126669835","0.124801140261483","-0.0049750929604464","0.176061163598126","0.113333844732974","0.220810205344548","0.048969574084105","0.0594008011995178","2017-01-24"
"15","0.0232355076018975","-0.0231368024011738","0.0745738203150295","0.0616442903339949","0.0326931638453399","0.0200983919200139","0.0499702806214986","0.0232799421810433","-0.00216555074216029","0.0154423601578453","0.377047263859956","-0.0207400032189156","0.085744621436346","0.125518650840462","0.119304370319065","-0.101487375738196","0.0353877977406383","0.0527300428866285","2017-01-25"
