"","BZUN.Adjusted","BABA.Adjusted","MOMO.Adjusted","PDD.Adjusted","combined","Date"
"34","-1.93308172362566","-2.35542582976541","-1.09249901229136",NA,"-1.79366885522748","2017-02-21"
"35","-2.00733702791233","-2.2497277298281","-1.2534617454076",NA,"-1.83684216771601","2017-02-22"
"36","-2.21466025965222","-2.33800204942784","-1.49437239761261",NA,"-2.01567823556422","2017-02-23"
"37","-2.16288582265179","-2.31299254496143","-1.46592472591931",NA,"-1.98060103117751","2017-02-24"
"38","-2.18518854671016","-2.27999952782333","-1.45782573881651",NA,"-1.97433793778333","2017-02-27"
"39","-2.18002389546441","-2.31553883184148","-1.31020015048805",NA,"-1.93525429259798","2017-02-28"
"40","-2.15265966006861","-2.25778294534032","-1.1417947875562",NA,"-1.85074579765504","2017-03-01"
"41","-2.18174424855679","-2.30078608037022","-1.31610449068772",NA,"-1.93287827320491","2017-03-02"
"42","-2.23919742209411","-2.29469381916658","-1.26515014956514",NA,"-1.93301379694194","2017-03-03"
"43","-2.23216194379845","-2.34568201557764","-1.31610449068772",NA,"-1.9646494833546","2017-03-06"
"44","-2.11719724205905","-2.32931182687338","-0.687713514489419",NA,"-1.71140752780728","2017-03-07"
"45","-1.99613552494292","-2.2992623512214","-0.00256213862495924",NA,"-1.43265333826309","2017-03-08"
"46","-1.9993307840359","-2.29824689624563","-0.678986373675598",NA,"-1.65885468465237","2017-03-09"
"47","-2.03799919300511","-2.29063605539118","-0.553197868777458",NA,"-1.62727770572458","2017-03-10"
"48","-2.00894138960464","-2.20065641233472","-0.452023633808493",NA,"-1.55387381191595","2017-03-13"
"49","-2.03475364785308","-2.24721279738802","-0.0844394259344045",NA,"-1.45546862372517","2017-03-14"
"50","-1.9770501257955","-2.27544739002563","-0.0549405659358253",NA,"-1.43581269391899","2017-03-15"
"51","-1.99453944115736","-2.17827684485417","0.0795656276270996",NA,"-1.36441688612814","2017-03-16"
"52","-2.04450308064804","-2.17926927436855","0.121648880152619",NA,"-1.36737449162132","2017-03-17"
"53","-2.05429107425314","-2.09849164099","0.00662705044429952",NA,"-1.38205188826628","2017-03-20"
