"","BZUN.Adjusted","BABA.Adjusted","MOMO.Adjusted","PDD.Adjusted"
"158",33.5,163.919998,43.339081,NA
"159",33.98,167.5,43.151978,NA
"160",34.599998,169.25,44.392773,NA
"161",26.23,174.460007,35.470886,NA
"162",28.9,175.800003,36.179913,NA
"163",28.809999,175,37.401009,NA
"164",26.58,171.740005,35.047443,NA
"165",26.92,168.300003,33.36351,NA
"166",26.559999,167.410004,33.560463,NA
"167",26.799999,171.25,35.520126,NA
"168",27.190001,171.740005,37.942623,NA
"169",28.870001,171.039993,37.617653,NA
"170",29.52,169.919998,37.351768,NA
"171",28.92,168.139999,37.026798,NA
"172",31.120001,170.479996,37.243446,NA
"173",31.559999,169,37.135124,NA
"174",32.150002,174.059998,37.568417,NA
"175",34.900002,175.309998,37.391163,NA
"176",37.349998,178.970001,36.741222,NA
"177",36.459999,177.100006,36.229149,NA
"178",37.700001,176.699997,36.012501,NA
"179",40.09,179.979996,36.337475,NA
"180",38.139999,180.070007,35.539822,NA
"181",38.27,177.949997,34.525524,NA
"182",37.82,177.389999,34.880032,NA
"183",37.73,178.139999,34.436893,NA
"184",36.055,169.589996,33.13702,NA
"185",35.209999,167.020004,32.004547,NA
"186",34.860001,170.990005,32.171955,NA
"187",33.43,170.240005,31.945461,NA
"188",32.759998,172.710007,30.862232,NA
"189",35.970001,173.610001,31.423542,NA
"190",36.040001,178.559998,31.787901,NA
"191",34.099998,178.710007,31.285677,NA
"192",34.360001,178.889999,30.931166,NA
"193",34.169998,179.199997,31.482628,NA
"194",33.630001,182.089996,30.99025,NA
"195",33.959999,183.119995,31.561407,NA
"196",33.900002,184.690002,32.280277,NA
"197",34.23,180.529999,31.650036,NA
"198",36.189999,178.449997,32.329521,NA
"199",36.689999,179.559998,33.855888,NA
"200",35.220001,175.320007,32.841591,NA
"201",34.860001,179.610001,33.461987,NA
"202",33.689999,177.929993,32.309822,NA
"203",33.869999,177.320007,31.403847,NA
"204",33.25,173.130005,31.098574,NA
"205",31.73,173.699997,30.763756,NA
"206",30.450001,170.220001,29.109367,NA
"207",30.16,170.320007,28.82379,NA
"208",31.52,176.149994,28.98135,NA
"209",31.26,181.580002,29.010891,NA
"210",31.389999,184.889999,30.005495,NA
"211",31.549999,186.080002,29.897173,NA
"212",31.969999,184.809998,29.818392,NA
"213",31.219999,183.210007,29.345709,NA
"214",32.41,187.839996,28.873026,NA
"215",32.494999,188.509995,27.829185,NA
"216",32.849998,185.899994,28.016291,NA
"217",32.330002,185.130005,28.518513,NA
"218",32.860001,186.410004,27.917814,NA
"219",34.630001,184.539993,29.424488,NA
"220",34.389999,181.789993,28.745008,NA
