"","BZUN.Adjusted","BABA.Adjusted","MOMO.Adjusted","PDD.Adjusted","combined"
"1",-0.162962792634472,-0.0972348707461726,-0.399502695592321,NA,-0.219900119657655
"2",-0.163592567246921,-0.094730313784342,-0.376771053945405,NA,-0.211697978325556
"3",-0.161703243409574,-0.0896687576948139,-0.345817266450914,NA,-0.199063089185101
"4",-0.161199423719615,-0.0902981790781757,-0.349444652679242,NA,-0.200314085159011
"5",-0.161199423719615,-0.0892098110499238,-0.327680286195295,NA,-0.192696506988278
"6",-0.152067691839105,-0.0865479066099545,-0.308334242682199,NA,-0.18231661371042
"7",-0.14904477369935,-0.0862987600993389,-0.316798152067296,NA,-0.184047228621995
"8",-0.147848201935697,-0.0876624950654981,-0.32066735094712,NA,-0.185392682649439
"9",-0.146966517478269,-0.0871773266820326,-0.309301517845168,NA,-0.181148454001823
"10",-0.150304322924248,-0.087374011357527,-0.31558899058187,NA,-0.184422441621215
"11",-0.150619210230473,-0.0875313693259346,-0.310268817565124,NA,-0.182806465707177
"12",-0.149233706083085,-0.0873084537328797,-0.311236092728093,NA,-0.182592750848019
"13",-0.148918818776861,-0.0874526949312235,-0.313412553933475,NA,-0.18326135588052
"14",-0.149359661005575,-0.0843711705534506,-0.275687692956279,NA,-0.169806174838435
"15",-0.147218427323249,-0.0804110992622384,-0.272543956587928,NA,-0.166724494391138
"16",-0.147092472400759,-0.0769624259607686,-0.270246576778305,NA,-0.164767158379944
"17",-0.150871120075452,-0.0786802048821133,-0.287053476944256,NA,-0.172201600633941
"18",-0.150367300385493,-0.079571877744602,-0.288262613872695,NA,-0.172733930667597
"19",-0.151815781994126,-0.0809487294808251,-0.298419359160182,NA,-0.177061290211711
"20",-0.152193646761595,-0.0805684559193625,-0.292373699074976,NA,-0.175045267251978
"21",-0.151626849610391,-0.0802275195552554,-0.291406350241045,NA,-0.174420239802231
"22",-0.15200471437786,-0.0811847618439439,-0.282217002901463,NA,-0.171802159707756
"23",-0.14929668354433,-0.0817748355396811,-0.282700652761441,NA,-0.171257390615151
"24",-0.145014216179677,-0.0811060769589638,-0.288746337403634,NA,-0.171622210180758
"25",-0.144195509183494,-0.0811978668124553,-0.291406350241045,NA,-0.172266575412331
"26",-0.143754666954779,-0.0776049523126417,-0.237720970213612,NA,-0.153026863160344
"27",-0.140731748815024,-0.0779065527906768,-0.240381081278972,NA,-0.153006460961558
"28",-0.140227929125065,-0.0791916041831394,-0.246910342110182,NA,-0.155443291806129
"29",-0.139031357361412,-0.0782212582372232,-0.227806086691595,NA,-0.14835290076341
"30",-0.137897763059004,-0.0802012991279638,-0.227564249483112,NA,-0.14855443722336
"31",-0.138149672903984,-0.0802537412938307,-0.207009044484591,NA,-0.141804152894135
"32",-0.13745692083029,-0.0812109822712356,-0.193950449151209,NA,-0.137539450750912
"33",-0.140605793892535,-0.0816043712914785,-0.189113876880468,NA,-0.137108014021494
"34",-0.134685912535515,-0.0795063096296858,-0.170493222207884,NA,-0.128228481457695
"35",-0.137645853214025,-0.0767788475650693,-0.190806663668884,NA,-0.135077121482659
"36",-0.145455058408391,-0.079060478443576,-0.220067664374959,NA,-0.148194400408975
"37",-0.143565734571045,-0.0784179520917028,-0.216682017127164,NA,-0.146221901263304
"38",-0.144384441567228,-0.0775656164265698,-0.215714766521182,NA,-0.145888274838327
"39",-0.144195509183494,-0.0784835097163501,-0.197819648031034,NA,-0.140166222310292
"40",-0.143187869803575,-0.0769886476993439,-0.176780719501573,NA,-0.132319079001497
"41",-0.144258486644739,-0.0781032374661711,-0.19854508598552,NA,-0.140302270032143
"42",-0.14633674286582,-0.0779458886767487,-0.192257588691831,NA,-0.138846740078133
"43",-0.14608483302084,-0.0792571722980556,-0.19854508598552,NA,-0.141295697101472
"44",-0.141865343117433,-0.078837562850521,-0.116566004971968,NA,-0.112422970313307
"45",-0.13720501098531,-0.0780639002688155,-0.0152408067743595,NA,-0.0768365726761618
"46",-0.1373309659078,-0.0780376785302402,-0.11535686804353,NA,-0.110241837493857
"47",-0.138842424977678,-0.0778409846757606,-0.0977035376478893,NA,-0.104795649100443
"48",-0.13770883067527,-0.0754937856823377,-0.083194017291561,NA,-0.0987988778830561
"49",-0.138716470055188,-0.076713279450153,-0.0280575648992582,NA,-0.0811624381348664
"50",-0.136449281450372,-0.0774475956555176,-0.0234629771789215,NA,-0.0791199514282703
"51",-0.137142033524066,-0.0749037119866004,-0.00218216232700422,NA,-0.0714093026125567
"52",-0.139094334822657,-0.0749299324138921,0.00458893571268847,NA,-0.0698117771746203
"53",-0.139472199590127,-0.0727794285862325,-0.0137898326374383,NA,-0.0753471536045991
"54",-0.145958878098351,-0.0756118064533898,-0.0648151998274601,NA,-0.0954619614597335
"55",-0.144510396489718,-0.0743005228320829,-0.048612843568741,NA,-0.0891412542968473
"56",-0.141361523427473,-0.0714681449649256,-0.0370051732583067,NA,-0.0832782805502353
"57",-0.140479838970045,-0.0717435132141164,-0.0360378489813635,NA,-0.0827537337218416
"58",-0.140731748815024,-0.0716910605579806,-0.0140316207319469,NA,-0.0754848100349839
"59",-0.14029090658631,-0.0720582186606628,-0.0246720649933861,NA,-0.079007063413453
"60",-0.140983658660004,-0.0698159249795117,-0.0171754307712587,NA,-0.0759916714702582
"61",-0.142306185346147,-0.0706813774147087,0.0169221422055574,NA,-0.0653551401850994
"62",-0.14066877135378,-0.0720188814633073,-0.0181427550482019,NA,-0.0769434692884296
"63",-0.137834785597759,-0.0716779555894692,0.000477899624381526,NA,-0.069678280520949
"64",-0.140857703737514,-0.0724253859423305,-0.020560930677131,NA,-0.0779480067856586
"65",-0.139031357361412,-0.0725302820756169,-0.0466782195718416,NA,-0.086079953002957
"66",-0.1404168615088,-0.0717435132141164,-0.00629319841531098,NA,-0.0728178577127425
"67",-0.136764168756596,-0.0704977977077258,0.00265431171578926,NA,-0.0682025515828442
"68",-0.128577092497014,-0.0669442204052678,0.0648036993562671,NA,-0.0435725378486715
"69",-0.12952176701118,-0.0685964312116963,0.0616598647599681,NA,-0.0454861111543026
"70",-0.135189732225474,-0.0683472938800661,0.073509421392859,NA,-0.043342534904227
"71",-0.1404168615088,-0.0688980303784478,0.0812478437094947,NA,-0.042689016059251
"72",-0.142810005036106,-0.0668655368315713,0.0865680658402143,NA,-0.0410358253424876
"73",-0.141928320578677,-0.0675605158395803,0.0471503689606268,NA,-0.054112822485877
"74",-0.14029090658631,-0.0681768204528782,0.0577907149941179,NA,-0.0502256706816901
"75",-0.141172591043739,-0.0652920004198539,0.0783459936636006,NA,-0.042706199266664
