Date,Close,Open,Day High,Day Low,delta,range
2017-01-02,61.2633,61.4995,61.9558,61.1245,-0.23619999999999663,0.8313000000000059
2017-01-03,61.0503,61.2625,61.58,60.345,-0.21220000000000283,1.2349999999999994
2017-01-04,60.3676,60.9579,61.2015,60.2325,-0.5902999999999992,0.9690000000000012
2017-01-05,59.357,60.3989,60.4438,59.1688,-1.0418999999999983,1.2750000000000057
2017-01-06,59.6,59.4362,59.765,59.111999999999995,0.16380000000000194,0.6530000000000058
2017-01-09,60.1375,59.55,60.1721,59.475,0.5875000000000057,0.6970999999999989
2017-01-10,60.175,60.1375,60.2781,59.8175,0.037499999999994316,0.46059999999999945
2017-01-11,59.8131,60.125,60.6888,59.4744,-0.3119000000000014,1.2143999999999977
2017-01-12,59.3825,59.725,59.8132,59.091,-0.34250000000000114,0.7222000000000008
2017-01-13,59.595,59.4675,59.86,59.265,0.12749999999999773,0.5949999999999989
2017-01-16,59.8747,59.5,59.9425,59.4,0.37469999999999715,0.542500000000004
2017-01-17,59.3938,59.76,59.95,58.961000000000006,-0.3661999999999992,0.9889999999999972
2017-01-18,59.5042,59.3651,59.595,59.0368,0.1390999999999991,0.5581999999999994
2017-01-19,59.695,59.5581,60.262,59.19,0.13689999999999714,1.0720000000000027
2017-01-20,59.6257,59.6951,59.9526,59.5399,-0.06939999999999458,0.41269999999999385
2017-01-23,59.5451,59.5399,59.8236,59.3065,0.005199999999994986,0.5170999999999992
2017-01-24,59.1749,59.5452,59.5452,59.076,-0.3703000000000003,0.4692000000000007
2017-01-25,59.5013,59.175,59.6713,59.0695,0.32630000000000337,0.6018000000000043
2017-01-26,60.3203,59.5014,60.62,59.3495,0.8189000000000064,1.2704999999999984
2017-01-27,59.8455,60.3202,60.5385,59.5616,-0.47469999999999857,0.9769000000000005
2017-01-28,59.8455,59.8455,59.8455,59.8455,0.0,0.0
2017-01-30,59.7533,59.8124,60.2827,59.7532,-0.05909999999999371,0.5294999999999987
2017-01-31,60.1684,59.7532,60.2364,59.6859,0.4151999999999987,0.5505000000000067
2017-02-01,60.1263,60.1683,60.4206,60.0627,-0.04200000000000159,0.3579000000000008
2017-02-02,59.405,60.1264,60.1475,58.5597,-0.7213999999999956,1.5878000000000014
2017-02-03,59.0064,59.4049,59.61,58.746,-0.3984999999999985,0.8639999999999972
2017-02-04,59.0064,59.0064,59.0064,59.0064,0.0,0.0
2017-02-06,58.9425,58.9812,59.0982,58.585,-0.038699999999998624,0.5131999999999977
2017-02-07,59.4776,58.9435,59.5477,58.8912,0.5341000000000022,0.6565000000000012
2017-02-08,59.1527,59.4775,59.6222,59.0891,-0.3247999999999962,0.5330999999999975
2017-02-09,58.9084,59.1528,59.2371,58.6933,-0.24439999999999884,0.5437999999999974
2017-02-10,58.2331,58.9085,59.045,58.2067,-0.6753999999999962,0.8383000000000038
2017-02-11,58.2331,58.2331,58.2331,58.2331,0.0,0.0
2017-02-13,57.9552,58.2573,58.4403,57.85,-0.3021000000000029,0.5902999999999992
