Date,Price
31-Jan-18,64.82
1-Feb-18,65.92
2-Feb-18,65.5
5-Feb-18,64.18
6-Feb-18,63.48
7-Feb-18,61.91
8-Feb-18,61.3
9-Feb-18,59.2
12-Feb-18,59.41
13-Feb-18,59.33
14-Feb-18,60.7
15-Feb-18,61.48
16-Feb-18,61.89
20-Feb-18,61.91
21-Feb-18,61.73
22-Feb-18,62.72
23-Feb-18,63.52
26-Feb-18,63.81
27-Feb-18,62.94
28-Feb-18,61.43
1-Mar-18,60.98
2-Mar-18,61.19
5-Mar-18,62.49
6-Mar-18,62.54
7-Mar-18,61.09
8-Mar-18,60.13
9-Mar-18,62.02
12-Mar-18,61.35
13-Mar-18,60.69
14-Mar-18,60.89
15-Mar-18,61.16
16-Mar-18,62.29
19-Mar-18,62.01
20-Mar-18,63.37
21-Mar-18,65.1
22-Mar-18,64.25
23-Mar-18,65.8
26-Mar-18,65.49
27-Mar-18,65.21
28-Mar-18,64.3
29-Mar-18,64.87
2-Apr-18,63.05
3-Apr-18,63.41
4-Apr-18,63.35
5-Apr-18,63.53
6-Apr-18,62.03
9-Apr-18,63.4
10-Apr-18,65.48
11-Apr-18,66.81
12-Apr-18,67.07
13-Apr-18,67.35
16-Apr-18,66.23
17-Apr-18,66.5
18-Apr-18,68.44
19-Apr-18,68.3
20-Apr-18,68.26
23-Apr-18,67.61
24-Apr-18,67.66
25-Apr-18,68
26-Apr-18,68.18
27-Apr-18,68.11
30-Apr-18,68.56
1-May-18,67.28
2-May-18,67.91
3-May-18,68.45
4-May-18,69.71
7-May-18,70.74
8-May-18,68.83
9-May-18,71.16
10-May-18,71.36
11-May-18,70.69
14-May-18,71.01
15-May-18,71.34
16-May-18,71.43
17-May-18,71.47
18-May-18,71.23
21-May-18,72.26
22-May-18,72.09
23-May-18,71.85
24-May-18,70.77
25-May-18,67.92
29-May-18,66.8
30-May-18,68.24
31-May-18,66.98
1-Jun-18,65.81
4-Jun-18,64.76
5-Jun-18,65.51
6-Jun-18,64.75
7-Jun-18,65.96
8-Jun-18,65.77
11-Jun-18,66.1
12-Jun-18,66.38
13-Jun-18,66.63
