Date,Close,Open,Day High,Day Low,delta,range
2017-01-01,1.3438,1.3444,1.3444,1.3428,-0.0005999999999999339,0.0016000000000000458
2017-01-02,1.3447,1.3438,1.3457,1.3388,0.0008999999999999009,0.006899999999999906
2017-01-03,1.3429,1.3447,1.3459999999999999,1.34,-0.0018000000000000238,0.005999999999999783
2017-01-04,1.3306,1.3428,1.3459,1.3283,-0.012199999999999989,0.01760000000000006
2017-01-05,1.3231,1.3306,1.3313,1.3193,-0.007500000000000062,0.01200000000000001
2017-01-06,1.3238,1.3232,1.327,1.3179,0.000600000000000156,0.009099999999999886
2017-01-07,1.3237,1.3237,1.3237,1.3237,0.0,0.0
2017-01-08,1.3253,1.3237,1.3259,1.3237,0.0015999999999998238,0.0021999999999999797
2017-01-09,1.3219,1.3238,1.3279,1.3199,-0.0019000000000000128,0.008000000000000007
2017-01-10,1.3232,1.3219999999999998,1.3258,1.3193,0.0012000000000000899,0.006500000000000172
2017-01-11,1.3184,1.3235,1.3295,1.3129,-0.005099999999999882,0.016599999999999948
2017-01-12,1.3149,1.318,1.3183,1.3032,-0.0031000000000001027,0.015100000000000113
2017-01-13,1.3115,1.3149,1.3169,1.3114,-0.0033999999999998476,0.00550000000000006
2017-01-14,1.3113,1.3113,1.3113,1.3113,0.0,0.0
2017-01-15,1.3132,1.3113,1.3145,1.3113,0.0019000000000000128,0.0032000000000000917
2017-01-16,1.3186,1.3115,1.3189,1.3115,0.007099999999999884,0.007399999999999851
2017-01-17,1.3047,1.3179,1.3191,1.3021,-0.0132000000000001,0.016999999999999904
2017-01-18,1.327,1.3042,1.3274,1.304,0.02279999999999993,0.023399999999999865
2017-01-19,1.3324,1.3265,1.3354,1.3254,0.005900000000000016,0.010000000000000009
2017-01-20,1.3319999999999999,1.3323,1.3388,1.3286,-0.000300000000000189,0.010199999999999987
2017-01-21,1.3319,1.3319,1.3319,1.3319,0.0,0.0
2017-01-22,1.3327,1.3319,1.3332,1.3319,0.0007999999999999119,0.0012999999999998568
2017-01-23,1.3229,1.3327,1.3336,1.3222,-0.009800000000000031,0.011399999999999855
2017-01-24,1.3159999999999998,1.3228,1.3301,1.3109,-0.006800000000000139,0.019200000000000106
2017-01-25,1.3072,1.3159,1.3164,1.3062,-0.008700000000000152,0.010199999999999987
2017-01-26,1.3091,1.3072,1.3132,1.3054,0.0019000000000000128,0.007800000000000029
2017-01-27,1.3153,1.3093,1.3155,1.3088,0.006000000000000005,0.006699999999999928
2017-01-28,1.3153,1.3153,1.3153,1.3152,0.0,9.999999999998899e-05
2017-01-29,1.3130000000000002,1.3153,1.3153,1.3127,-0.0022999999999997467,0.0025999999999999357
2017-01-30,1.3118,1.3130000000000002,1.317,1.3081,-0.0012000000000000899,0.008899999999999908
2017-01-31,1.3045,1.3117,1.3125,1.2971,-0.007200000000000095,0.01540000000000008
2017-02-01,1.3049,1.3044,1.3104,1.3034,0.0004999999999999449,0.007000000000000117
2017-02-02,1.3027,1.3046,1.3053,1.2981,-0.0019000000000000128,0.007199999999999873
2017-02-03,1.3024,1.3026,1.3072,1.2994,-0.00019999999999997797,0.007799999999999807
2017-02-04,1.3024,1.3024,1.3024,1.3015,0.0,0.0008999999999999009
2017-02-05,1.3028,1.3024,1.3036,1.3022,0.00039999999999995595,0.0014000000000000679
2017-02-06,1.3084,1.3028,1.3135,1.3008,0.005600000000000049,0.012699999999999934
2017-02-07,1.3185,1.3083,1.3214,1.3078,0.010199999999999987,0.013599999999999834
2017-02-08,1.3144,1.3183,1.3202,1.3136,-0.0039000000000000146,0.006599999999999939
2017-02-09,1.3139,1.3143,1.3169,1.3095,-0.00039999999999995595,0.007399999999999851
2017-02-10,1.3083,1.3138,1.3159,1.3064,-0.00550000000000006,0.009500000000000064
2017-02-11,1.3083,1.3083,1.3083,1.3083,0.0,0.0
2017-02-12,1.3093,1.3083,1.3095,1.3083,0.0009999999999998899,0.0012000000000000899
2017-02-13,1.3072,1.3093,1.3122,1.3058,-0.0020999999999999908,0.006399999999999961
2017-02-14,1.3077,1.3073,1.3108,1.3027,0.000400000000000178,0.008099999999999996
2017-02-15,1.3079,1.3079,1.3122,1.3065,0.0,0.005700000000000038
2017-02-16,1.3073,1.308,1.3082,1.3011,-0.000700000000000145,0.007100000000000106
2017-02-17,1.3096,1.3072,1.3128,1.3061,0.0024000000000001798,0.006699999999999928
2017-02-18,1.3096,1.3096,1.3096,1.3092,0.0,0.000400000000000178
2017-02-19,1.3094,1.3096,1.3099,1.3092,-0.00020000000000020002,0.000700000000000145
2017-02-20,1.3109,1.3094,1.3121,1.3076,0.0015000000000000568,0.0044999999999999485
2017-02-21,1.3147,1.3107,1.3165,1.3101,0.0040000000000000036,0.006399999999999961
2017-02-22,1.3159999999999998,1.3148,1.3211,1.3112,0.0011999999999998678,0.00990000000000002
2017-02-23,1.3105,1.3161,1.3172,1.3085,-0.005600000000000049,0.00869999999999993
2017-02-24,1.3093,1.3105,1.3119,1.3059,-0.0012000000000000899,0.006000000000000005
2017-02-25,1.3093,1.3093,1.32,1.3093,0.0,0.010700000000000154
2017-02-26,1.3099,1.3093,1.3101,1.3093,0.000600000000000156,0.0008000000000001339
2017-02-27,1.3189,1.3093,1.3189,1.3081,0.009600000000000053,0.01079999999999992
2017-02-28,1.3312,1.3189,1.3316,1.3166,0.012299999999999978,0.014999999999999902
2017-03-01,1.3331,1.3312,1.3359,1.3286,0.0019000000000000128,0.007300000000000084
2017-03-02,1.339,1.3333,1.3403,1.3333,0.005700000000000038,0.007000000000000117
2017-03-03,1.3376,1.3395,1.3438,1.3373,-0.0019000000000000128,0.006500000000000172
2017-03-04,1.3376,1.3371,1.3376,1.3371,0.0004999999999999449,0.0004999999999999449
2017-03-05,1.3379,1.3376,1.3384,1.3374,0.000300000000000189,0.001000000000000112
2017-03-06,1.3409,1.3376,1.3426,1.3373,0.0033000000000000806,0.005300000000000082
