Date,Close,Open,Day High,Day Low
1/2/2017,61.2633,61.4995,61.9558,61.1245
1/3/2017,61.0503,61.2625,61.58,60.345
1/4/2017,60.3676,60.9579,61.2015,60.2325
1/5/2017,59.357,60.3989,60.4438,59.1688
1/6/2017,59.6,59.4362,59.765,59.112
1/9/2017,60.1375,59.55,60.1721,59.475
1/10/2017,60.175,60.1375,60.2781,59.8175
1/11/2017,59.8131,60.125,60.6888,59.4744
1/12/2017,59.3825,59.725,59.8132,59.091
1/13/2017,59.595,59.4675,59.86,59.265
1/16/2017,59.8747,59.5,59.9425,59.4
1/17/2017,59.3938,59.76,59.95,58.961
1/18/2017,59.5042,59.3651,59.595,59.0368
1/19/2017,59.695,59.5581,60.262,59.19
1/20/2017,59.6257,59.6951,59.9526,59.5399
1/23/2017,59.5451,59.5399,59.8236,59.3065
1/24/2017,59.1749,59.5452,59.5452,59.076
1/25/2017,59.5013,59.175,59.6713,59.0695
1/26/2017,60.3203,59.5014,60.62,59.3495
1/27/2017,59.8455,60.3202,60.5385,59.5616
1/28/2017,59.8455,59.8455,59.8455,59.8455
1/30/2017,59.7533,59.8124,60.2827,59.7532
1/31/2017,60.1684,59.7532,60.2364,59.6859
2/1/2017,60.1263,60.1683,60.4206,60.0627
2/2/2017,59.405,60.1264,60.1475,58.5597
2/3/2017,59.0064,59.4049,59.61,58.746
2/4/2017,59.0064,59.0064,59.0064,59.0064
2/6/2017,58.9425,58.9812,59.0982,58.585
2/7/2017,59.4776,58.9435,59.5477,58.8912
2/8/2017,59.1527,59.4775,59.6222,59.0891
2/9/2017,58.9084,59.1528,59.2371,58.6933
2/10/2017,58.2331,58.9085,59.045,58.2067
2/11/2017,58.2331,58.2331,58.2331,58.2331
2/13/2017,57.9552,58.2573,58.4403,57.85
2/14/2017,57.0891,57.9551,58.1846,56.8644
2/15/2017,57.1489,57.0892,57.885,56.555
2/16/2017,57.5999,57.149,57.674,56.9919
2/17/2017,58.3715,57.5982,58.5512,57.4644
2/18/2017,58.3715,58.3715,58.3715,58.3715
2/20/2017,57.9761,58.352,58.3521,57.903
2/21/2017,57.4349,57.958,58.0489,57.3905
2/22/2017,58.0408,57.429,58.16,57.3062
2/23/2017,57.7678,58.0409,58.115,57.5675
2/24/2017,58.4487,57.7679,58.59,57.725
2/25/2017,58.4487,58.4487,58.4487,58.4487
2/27/2017,58.2185,58.3866,58.4105,57.5825
2/28/2017,58.3768,58.2184,58.5035,57.8185
3/1/2017,58.2443,58.3769,58.5915,57.9828
3/2/2017,58.7192,58.2442,58.8693,58.1661
3/3/2017,58.239,58.7193,59.0061,58.1379
3/4/2017,58.239,58.239,58.239,58.239
3/6/2017,58.2741,58.2248,58.441,57.93
3/7/2017,58.1735,58.2716,58.3729,57.8802
3/8/2017,58.9081,58.1734,58.99,58.1175
3/9/2017,59.2792,58.9082,59.493,58.6944
3/10/2017,59.0219,59.2898,59.3375,58.71
3/11/2017,59.0219,59.0219,59.0219,59.0219
3/13/2017,58.8136,59.1033,59.305,58.7685
3/14/2017,59.2333,58.8135,59.617,58.7954
3/15/2017,58.4069,59.223,59.2759,58.3775
3/16/2017,57.7733,58.407,58.5498,57.616
3/17/2017,57.2194,57.7732,58.0701,57.1609
3/18/2017,57.2194,57.2194,57.2194,57.2194
3/20/2017,57.3306,57.4219,57.6375,57.1788
3/21/2017,57.6429,57.3307,57.745,57.0025
3/22/2017,57.7613,57.643,58.217,57.5563
3/23/2017,57.3727,57.7614,57.7675,57.2651
3/24/2017,56.9488,57.3728,57.5064,56.887
3/25/2017,56.9488,56.9488,56.9488,56.9488
3/27/2017,56.8931,57.0038,57.2166,56.733
3/28/2017,56.9887,56.8932,57.185,56.7669
3/29/2017,56.6749,56.9888,57.1461,56.5885
3/30/2017,56.0102,56.678,56.759,55.9145
3/31/2017,56.2578,56.0101,56.5358,55.8572
4/3/2017,56.176,56.2667,56.4613,55.9399
4/4/2017,55.9848,56.1759,56.704,55.9848
4/5/2017,56.4493,55.9847,56.4661,55.8029
4/6/2017,56.4335,56.4492,56.5829,56.1802
4/7/2017,57.225,56.4334,57.2702,56.3609
4/10/2017,57.0639,57.4111,57.585,57.0638
4/11/2017,56.9791,57.0735,57.2472,56.8198
4/12/2017,56.6775,56.9792,57.1504,56.542
4/13/2017,56.2936,56.6776,56.7498,56.1659
4/14/2017,56.336,56.2912,56.3896,56.0926
4/17/2017,55.9049,56.3378,56.3378,55.88
4/18/2017,56.2975,55.9027,56.3039,55.8555
4/19/2017,56.6198,56.3018,56.7433,56.0272
4/20/2017,56.1496,56.6119,56.6313,56.0954
4/21/2017,56.4615,56.1494,56.6003,56.03
4/24/2017,55.8169,56.4614,56.4616,55.715
4/25/2017,56.095,55.817,56.2444,55.6825
4/26/2017,57.132,56.0949,57.1952,56.06
4/27/2017,57.007,57.1321,57.27,56.72
4/28/2017,56.9474,57.0069,57.1808,56.6248
5/1/2017,56.987,56.9462,57.036,56.8175
5/2/2017,57.0753,56.9869,57.1622,56.8555
5/3/2017,57.3813,57.0752,57.4054,56.8843
5/4/2017,58.3852,57.3812,58.462,57.2945
5/5/2017,58.06,58.3851,59.0161,57.927
5/8/2017,58.24,58.0628,58.4154,57.9129
5/9/2017,58.454,58.2399,58.5562,58.12
5/10/2017,57.4151,58.4539,58.455,57.4127
5/11/2017,57.1141,57.415,57.5735,56.9255
5/12/2017,57.1034,57.114,57.3504,56.971
5/15/2017,56.3652,57.1147,57.1285,56.216
5/16/2017,56.462,56.3653,56.6396,56.1838
5/17/2017,57.107,56.4621,57.2678,56.4537
5/18/2017,57.5732,57.1071,58.1274,57.0897
5/19/2017,56.925,57.5733,57.662,56.66
5/22/2017,56.6372,56.9619,56.9621,56.4103
5/23/2017,56.3387,56.6293,56.742,56.225
5/24/2017,56.3735,56.3388,56.5743,56.2123
5/25/2017,56.8365,56.3736,57.0179,56.0003
5/26/2017,56.5165,56.8366,57.03,56.4863
5/29/2017,56.5133,56.5165,56.8602,56.2925
5/30/2017,56.593,56.5134,56.7907,56.4525
5/31/2017,56.7454,56.5929,56.947,56.5049
6/1/2017,56.4218,56.7453,56.7575,56.1296
6/2/2017,56.6435,56.4219,56.8514,56.388
6/5/2017,56.6134,56.641,56.7473,56.4226
6/6/2017,56.5028,56.6133,56.7688,56.422
6/7/2017,57.0819,56.5123,57.1704,56.4433
6/8/2017,56.9107,57.082,57.125,56.815
6/9/2017,57.0427,56.9108,57.0564,56.875
6/12/2017,57.0376,57.0312,57.1699,56.935
6/13/2017,56.9127,57.0368,57.0385,56.82
6/14/2017,57.461,56.9126,57.5652,56.83
6/15/2017,57.835,57.4611,57.8875,57.3243
6/16/2017,57.7669,57.8349,57.8785,57.4338
6/19/2017,58.4526,57.7443,58.4776,57.5947
6/20/2017,59.5925,58.4527,59.7749,58.243
6/21/2017,60.275,59.5926,60.4236,59.335
6/22/2017,59.8785,60.2749,60.399,59.6516
6/23/2017,59.4528,59.8784,59.8819,59.3489
6/26/2017,58.9292,59.4586,59.4586,58.7457
6/27/2017,59.4049,58.9293,59.4963,58.635
6/28/2017,59.2517,59.3957,59.8672,59.17
6/29/2017,59.455,59.2516,59.5894,58.9119
6/30/2017,58.9251,59.4551,59.597,58.8713
7/3/2017,59.2709,58.9156,59.4766,58.7993
7/4/2017,59.3935,59.271,59.518,59.135
7/5/2017,60.2135,59.3936,60.2477,59.267
7/6/2017,60.0808,60.2134,60.415,59.765
7/7/2017,60.385,60.0807,60.624,60.0807
7/10/2017,60.295,60.3864,60.5381,60.1766
7/11/2017,60.795,60.2951,60.9934,60.285
7/12/2017,59.935,60.7951,60.7982,59.8999
7/13/2017,59.7834,59.9349,60.285,59.6642
7/14/2017,59.055,59.7833,59.9633,59.041
7/17/2017,59.3226,59.0966,59.4,58.966
7/18/2017,59.115,59.3225,59.462,58.8995
7/19/2017,58.9821,59.1149,59.3895,58.8557
7/20/2017,58.925,58.9822,59.2309,58.7933
7/21/2017,59.2625,58.9251,59.3925,58.777
7/24/2017,60.0074,59.2626,60.2018,59.2625
7/25/2017,59.9875,60.0075,60.1901,59.706
7/26/2017,59.5759,59.9874,60.0585,59.3735
7/27/2017,59.5213,59.5758,59.652,59.3267
7/28/2017,59.5142,59.5212,59.645,59.3688
7/31/2017,59.75,59.5143,60.3388,59.5141
8/1/2017,60.2094,59.7649,60.3849,59.6321
8/2/2017,60.5439,60.2095,60.8363,60.2093
8/3/2017,60.3305,60.5438,60.8463,60.0946
8/4/2017,59.9705,60.3304,60.4782,59.8444
8/7/2017,59.9903,59.9704,60.326,59.8756
8/8/2017,59.8242,59.9902,60.132,59.7026
8/9/2017,60.1056,59.8241,60.22,59.8241
8/10/2017,60.0243,60.1055,60.1545,59.719
8/11/2017,59.8262,60.0244,60.3086,59.7997
8/14/2017,59.8461,59.8261,59.946,59.5641
8/15/2017,59.786,59.8462,60.115,59.6925
8/16/2017,59.4462,59.7861,59.82,59.28
8/17/2017,59.0748,59.4463,59.48,58.9941
8/18/2017,58.9405,59.0747,59.5075,58.9405
8/21/2017,59.1076,58.93,59.212,58.9257
8/22/2017,59.012,59.1075,59.1475,58.9285
8/23/2017,59.0076,59.0119,59.247,58.9988
8/24/2017,59.1653,59.0077,59.2748,59.0075
8/25/2017,58.5845,59.1652,59.2213,58.5519
8/28/2017,58.465,58.598,58.748,58.3373
8/29/2017,58.7598,58.4651,58.885,58.4252
8/30/2017,58.495,58.7597,58.91,58.3287
8/31/2017,58.0117,58.4951,58.661,57.9925
9/1/2017,57.479,58.0116,58.193,57.37
9/4/2017,57.7731,57.5005,57.9549,57.5004
9/5/2017,57.5785,57.773,58.11,57.23
9/6/2017,57.4199,57.5784,57.601,57.258
9/7/2017,56.9665,57.4225,57.475,56.7866
9/8/2017,57.3254,56.9664,57.482,56.7493
9/11/2017,57.2351,57.3564,57.4025,57.0428
9/12/2017,57.6562,57.2354,57.7648,57.068
9/13/2017,57.9682,57.6553,57.9839,57.464
9/14/2017,57.5141,57.9807,57.984,57.3897
9/15/2017,57.6,57.5122,57.771,57.3875
9/18/2017,58.0937,57.7075,58.1585,57.332
9/19/2017,58.12,58.0936,58.3875,57.9176
9/20/2017,58.2029,58.1201,58.294,57.7158
9/21/2017,57.91,58.203,58.3902,57.7609
9/22/2017,57.5335,57.9102,57.9462,57.241
9/25/2017,57.5812,57.6086,57.7505,57.2425
9/26/2017,57.8743,57.5831,58.1513,57.212
9/27/2017,58.1999,57.8743,58.3833,57.738
9/28/2017,57.9468,58.1998,58.5851,57.794
9/29/2017,57.548,57.9467,58.1032,57.475
10/2/2017,57.9001,57.3625,57.9875,57.3043
10/3/2017,57.9341,57.748,58.1661,57.748
10/4/2017,57.6858,57.9334,57.9906,57.5288
10/5/2017,57.7224,57.6814,57.7492,57.3834
10/6/2017,58.1583,57.7225,58.265,57.64
10/9/2017,58.272,58.1501,58.5071,57.9973
10/10/2017,57.9896,58.2626,58.3133,57.7903
10/11/2017,57.81,57.9918,58.069,57.6352
10/12/2017,57.7188,57.8109,57.8477,57.4884
10/13/2017,57.273,57.7187,57.7922,57.0583
10/16/2017,57.2941,57.266,57.3805,56.914
10/17/2017,57.3095,57.2942,57.5454,56.914
10/18/2017,57.4119,57.3099,57.5046,56.7574
10/19/2017,57.2809,57.4109,57.73,57.2583
10/20/2017,57.4825,57.2808,57.6385,57.1559
10/23/2017,57.5327,57.5561,57.6115,57.288
10/24/2017,57.6459,57.5356,57.7034,57.376
10/25/2017,57.7539,57.6458,57.8155,57.42
10/26/2017,57.8657,57.7538,57.8915,57.48
10/27/2017,58.0284,57.8656,58.7701,57.64
10/30/2017,57.9348,58.1297,58.267,57.6626
10/31/2017,58.3392,57.9347,58.6062,57.882
11/1/2017,58.2481,58.3391,58.406,58.0288
11/2/2017,58.2882,58.2482,58.445,57.709
11/3/2017,59.0239,58.288,59.2775,58.058
11/4/2017,59.055,59.055,59.055,59.055
11/6/2017,58.2921,59.0096,59.175,58.205
11/7/2017,59.3765,58.2897,59.44,58.146
11/8/2017,59.2302,59.3766,59.5842,59.074
11/9/2017,59.3171,59.2169,59.435,59.07
11/10/2017,59.187,59.359,59.365,58.9738
11/13/2017,59.3959,59.2542,59.5992,59.07
11/14/2017,60.4255,59.3958,60.5127,59.224
11/15/2017,60.2067,60.324,60.4608,60.0256
11/16/2017,59.6995,60.2068,60.2189,59.5796
11/17/2017,58.9636,59.6994,59.7568,58.872
11/18/2017,58.9636,58.9636,58.9636,58.9636
11/20/2017,59.4336,59.134,59.5805,58.982
11/21/2017,59.1015,59.4314,59.5396,59.0892
11/22/2017,58.4321,59.1017,59.1835,58.3836
11/23/2017,58.4559,58.4314,58.535,58.278
11/24/2017,58.3927,58.4533,58.7435,58.252
11/27/2017,58.4676,58.4099,58.5275,58.0445
11/28/2017,58.417,58.4675,58.575,58.2145
11/29/2017,58.6383,58.4169,58.7837,58.25
11/30/2017,58.4936,58.641,58.74,58.36
12/1/2017,58.8891,58.4937,59.1505,58.432
12/2/2017,58.8891,58.8891,58.8891,58.8891
12/4/2017,58.7564,58.9012,59.1142,58.6495
12/5/2017,58.7923,58.8008,58.872,58.5098
12/6/2017,59.1963,58.7922,59.25,58.63
12/7/2017,59.1789,59.1964,59.385,59.07
12/8/2017,59.0638,59.179,59.3888,58.982
12/11/2017,58.9249,59.1344,59.3197,58.872
12/12/2017,59.2376,58.925,59.3,58.74
12/13/2017,58.599,59.1538,59.2652,58.476
12/14/2017,58.8576,58.6055,58.9242,58.278
12/15/2017,58.8369,58.8633,59.045,58.652
12/18/2017,58.6749,58.564,58.8444,58.5419
12/19/2017,58.7766,58.675,58.8738,58.498
12/20/2017,58.7366,58.7732,58.8151,58.564
12/21/2017,58.4645,58.7367,58.7571,58.42
12/22/2017,58.3177,58.4644,58.6291,58.124
12/25/2017,58.0178,58.3683,58.3938,57.6883
12/26/2017,57.6654,58.0085,58.2766,57.508
12/27/2017,57.7718,57.6655,57.9325,57.354
12/28/2017,57.5856,57.7717,57.783,57.332
12/29/2017,57.6783,57.5855,57.9275,57.442
1/1/2018,57.7672,57.7672,57.7672,57.7672
1/2/2018,57.4987,57.6717,57.817,57.2167
1/3/2018,57.1467,57.4988,57.625,57.1049
1/4/2018,56.9687,57.178,57.29,56.7895
1/5/2018,56.8705,56.954,57.1311,56.782
1/8/2018,57.1275,57.0241,57.18,56.672
1/9/2018,56.9162,57.1276,57.185,56.738
1/10/2018,57.0534,56.9163,57.1033,56.76
1/11/2018,56.5452,57.0536,57.0774,56.364
1/12/2018,56.6224,56.5451,56.75,56.408
1/15/2018,56.3405,56.5838,56.719,56.2669
1/16/2018,56.5142,56.3404,56.587,56.188
1/17/2018,56.8664,56.5143,56.9583,56.32
1/18/2018,56.5308,56.8695,56.914,56.41
1/19/2018,56.7449,56.5307,56.7617,56.32
1/22/2018,56.4934,56.6276,56.749,56.4475
1/23/2018,56.3774,56.4973,56.59,56.3258
1/24/2018,56.1593,56.3725,56.473,56.056
1/25/2018,55.9103,56.034,56.267,55.5872
1/26/2018,56.2456,55.9127,56.2815,55.7337
1/29/2018,56.3106,56.2345,56.519,56.1
1/30/2018,56.319,56.3122,56.4407,55.8785
1/31/2018,56.2341,56.3202,56.4686,56.056
2/1/2018,55.9802,56.234,56.43,55.814
2/2/2018,56.5429,55.9871,56.563,55.836
2/5/2018,57.2994,56.4556,57.368,56.364
2/6/2018,56.8622,57.2995,57.6496,56.738
