Date,Open,High,Low,Close,Adj Close,Volume,delta,range
2017-01-01,963.65802,1003.080017,958.698975,998.3250119999999,998.3250119999999,147775008,34.66699199999994,44.38104199999998
2017-01-02,998.617004,1031.390015,996.7020259999999,1021.75,1021.75,222184992,23.13299600000005,34.687989000000016
2017-01-03,1021.599976,1044.079956,1021.599976,1043.839966,1043.839966,185168000,22.239990000000034,22.47998000000007
2017-01-04,1044.400024,1159.420044,1044.400024,1154.72998,1154.72998,344945984,110.32995600000004,115.02001999999993
2017-01-05,1156.72998,1191.099976,910.4169919999999,1013.3800050000001,1013.3800050000001,510199008,-143.34997499999997,280.68298400000003
2017-01-06,1014.23999,1046.810059,883.9439699999999,902.200989,902.200989,351876000,-112.03900099999998,162.866089
2017-01-07,903.487,908.5850220000001,823.55603,908.5850220000001,908.5850220000001,279550016,5.098022000000128,85.02899200000013
2017-01-08,908.1749880000001,942.723999,887.2490230000001,911.198975,911.198975,158715008,3.02398699999992,55.47497599999997
2017-01-09,913.244019,913.685974,879.807007,902.828003,902.828003,141876992,-10.416016000000013,33.87896699999999
2017-01-10,902.4400019999999,914.872986,901.0599980000001,907.679016,907.679016,115808000,5.239014000000111,13.812987999999905
2017-01-11,908.11499,919.4479980000001,762.7650150000001,777.757019,777.757019,310928992,-130.35797100000002,156.68298300000004
2017-01-12,775.177979,826.2459719999999,755.7559809999999,804.833984,804.833984,222326000,29.656004999999936,70.48999100000003
2017-01-13,803.737,829.0009769999999,780.0029910000001,823.984009,823.984009,168968000,20.247009000000048,48.997985999999855
2017-01-14,825.142029,835.085022,812.455994,818.4119870000001,818.4119870000001,93063296,-6.730041999999912,22.62902799999995
2017-01-15,818.142029,823.307007,812.8709719999999,821.7979740000001,821.7979740000001,71013600,3.655945000000088,10.43603500000006
2017-01-16,821.78302,834.530029,820.270996,831.533997,831.533997,82755200,9.750977000000034,14.259033000000045
2017-01-17,830.945984,910.560974,830.796021,907.9379880000001,907.9379880000001,155095008,76.99200400000018,79.76495299999999
2017-01-18,909.372986,917.4990230000001,858.304016,886.6179810000001,886.6179810000001,225676992,-22.75500499999987,59.19500700000003
2017-01-19,888.3350220000001,904.6140140000001,884.338013,899.0729980000001,899.0729980000001,105625000,10.737976000000003,20.276001000000065
